[2019-06-15 08:53:12 ^16169.12]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 08:53:12 ^16168.11]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 08:53:12 ^16167.10]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 08:53:12 ^16166.9]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 08:53:12 ^16165.8]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 08:53:12 #16162.1]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 08:53:12 #16162.1]	INFO	Server is shutdown now
[2019-06-15 08:53:12 $16163.0]	WARNING	swSignal_callback (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 08:53:15 *16173.0]	WARNING	swWorker_try_to_exit (ERRNO 9012): worker exit timeout, forced to terminate
[2019-06-18 03:10:04 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3097] abnormal exit, status=255, signal=0
[2019-06-18 03:10:06 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3108] abnormal exit, status=255, signal=0
[2019-06-18 03:10:08 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3109] abnormal exit, status=255, signal=0
[2019-06-18 03:10:10 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3110] abnormal exit, status=255, signal=0
[2019-06-18 03:10:12 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3111] abnormal exit, status=255, signal=0
[2019-06-18 03:10:14 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3112] abnormal exit, status=255, signal=0
[2019-06-18 03:10:16 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3113] abnormal exit, status=255, signal=0
[2019-06-18 03:10:19 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3114] abnormal exit, status=255, signal=0
[2019-06-18 03:10:21 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3116] abnormal exit, status=255, signal=0
